"filename", "language", "TypeScript", "JSON with Comments", "Vue", "JSON", "CSS", "SCSS", "Markdown", "HTML", "Ignore", "JavaScript", "YAML", "XML", "comment", "blank", "total"
"d:\Documents\GitHub\ProjectManagementFrontend\.eslintrc.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 1, 1, 85
"d:\Documents\GitHub\ProjectManagementFrontend\.github\workflows\main.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 6, 3, 53
"d:\Documents\GitHub\ProjectManagementFrontend\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 3, 10
"d:\Documents\GitHub\ProjectManagementFrontend\.prettierrc.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 1, 21
"d:\Documents\GitHub\ProjectManagementFrontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 24, 82
"d:\Documents\GitHub\ProjectManagementFrontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"d:\Documents\GitHub\ProjectManagementFrontend\mock\index.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"d:\Documents\GitHub\ProjectManagementFrontend\mock\utils.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\Documents\GitHub\ProjectManagementFrontend\package.json", "JSON", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"d:\Documents\GitHub\ProjectManagementFrontend\src\App.vue", "Vue", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"d:\Documents\GitHub\ProjectManagementFrontend\src\api\project.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"d:\Documents\GitHub\ProjectManagementFrontend\src\api\user.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"d:\Documents\GitHub\ProjectManagementFrontend\src\assets\styles\element\index.scss", "SCSS", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 1, 12
"d:\Documents\GitHub\ProjectManagementFrontend\src\assets\styles\index.css", "CSS", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 1, 5, 43
"d:\Documents\GitHub\ProjectManagementFrontend\src\assets\styles\reset.css", "CSS", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 1, 2, 47
"d:\Documents\GitHub\ProjectManagementFrontend\src\assets\svg\LogoutSvg.vue", "Vue", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Documents\GitHub\ProjectManagementFrontend\src\assets\svg\login-bg.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 17
"d:\Documents\GitHub\ProjectManagementFrontend\src\assets\svg\login-box.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 98
"d:\Documents\GitHub\ProjectManagementFrontend\src\components\AppLink.vue", "Vue", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 46
"d:\Documents\GitHub\ProjectManagementFrontend\src\components\Footer.vue", "Vue", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\Documents\GitHub\ProjectManagementFrontend\src\components\forms\index.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\Documents\GitHub\ProjectManagementFrontend\src\composable\fetch.ts", "TypeScript", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 4, 109
"d:\Documents\GitHub\ProjectManagementFrontend\src\composable\index.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
