Date : 2022-02-13 21:09:16
Directory : d:\Documents\GitHub\ProjectManagementFrontend
Total : 63 files,  2307 codes, 305 comments, 265 blanks, all 2877 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |         41 |      1,247 |        282 |        204 |      1,733 |
| Vue                |          8 |        531 |          3 |         19 |        553 |
| XML                |          2 |        115 |          0 |          0 |        115 |
| JavaScript         |          2 |        103 |          1 |          2 |        106 |
| CSS                |          2 |         81 |          2 |          7 |         90 |
| JSON               |          2 |         58 |          0 |          1 |         59 |
| Markdown           |          1 |         58 |          0 |         24 |         82 |
| YAML               |          1 |         44 |          6 |          3 |         53 |
| JSON with Comments |          1 |         40 |         10 |          0 |         50 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| SCSS               |          1 |         10 |          1 |          1 |         12 |
| Ignore             |          1 |          7 |          0 |          3 |         10 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                  |         63 |      2,307 |        305 |        265 |      2,877 |
| .github                                                                            |          1 |         44 |          6 |          3 |         53 |
| .github\workflows                                                                  |          1 |         44 |          6 |          3 |         53 |
| mock                                                                               |          2 |         49 |          0 |          2 |         51 |
| src                                                                                |         46 |      1,790 |        244 |        214 |      2,248 |
| src\api                                                                            |          2 |         50 |          0 |         10 |         60 |
| src\assets                                                                         |          6 |        216 |          3 |          9 |        228 |
| src\assets\styles                                                                  |          3 |         91 |          3 |          8 |        102 |
| src\assets\styles\element                                                          |          1 |         10 |          1 |          1 |         12 |
| src\assets\svg                                                                     |          3 |        125 |          0 |          1 |        126 |
| src\components                                                                     |          3 |         60 |          0 |          5 |         65 |
| src\components\forms                                                               |          1 |          9 |          0 |          1 |         10 |
| src\composable                                                                     |          3 |        168 |         36 |          9 |        213 |
| src\enums                                                                          |          2 |         26 |         16 |          9 |         51 |
| src\router                                                                         |          5 |         86 |         13 |         13 |        112 |
| src\router\guard                                                                   |          1 |         34 |          6 |          4 |         44 |
| src\router\routes                                                                  |          2 |         40 |          6 |          3 |         49 |
| src\settings                                                                       |          1 |          3 |          0 |          0 |          3 |
| src\store                                                                          |          5 |         93 |          8 |         18 |        119 |
